address,point
sei1stgyqefkr8vm7adukgd9k0qqwrxwex7edf8mah,308.5
sei1yrg9amqcj4lv8q307q3cnvs2ncmmffspysqarj,304.6
sei19vmvzdystfsj64v5h0qkwxprxtrvp2ghxsd0dg,285.1
sei1e6szhe5nrq6u774dn4jv7zvrgg5mhn9kfrssht,281.2
sei1jnal3c2z4su7tz3zy59uc0wsmjmzftkrrpl6t6,279.9
sei1nff665lmhrcs3g4rgmc08q2zrdc9264xgfj8mm,278.6
sei1p8q3vp8hklus9vpf68ahhzpdwntgy8dhgut80z,261.7
sei1cvdjsxmxnp2fwcf8hxydhv60j9tkpy65208j3m,259.1
sei10cnfzzs5k3s43gpqrr2gmq5exway26ukqhm5kq,240.9
sei1tfq8al8ncsvyt4ecvhtavh5en8wr0xuvxc2qq2,239.6
sei1e7zwv9sulmjrx8gj6pccj7clx3gvyrmq83surn,235.7
sei1zejhu9ayvtxqr9s4xqmytt8cxksnnw228v42xz,230.5
sei1e6nkt58plcyrwhya9pwxkm7x32dgpmn7h6v27l,224.01
sei1vk5lqyfzer594tt2h338l8u25xtsdj6sq74955,220.2
sei12q89e3maeuyyc4ktv52w0v37tcdwgm5qpmtjfm,217.71
sei12ssnkjj3lz2qjn5lrskzdn5lzurh5drzcyeeyw,215.26
sei1ut09k4syll0twpzw7507wp8268fwv7sxq6n6lv,210.48
sei1spmxrc8kwd5m3500nzycvxj80qaqzxtxax248s,202.39
sei1lfazs8r93jgt6dskhptzaxefylt4k5xcxxnx8p,201.4
sei1y2l5mgdct6txz0yg2dar32zfzha2jwtvlxdv4j,194.56
sei1k65axtllcsk4dhyt4ctplynvelfnj07w6jkxem,191.95
sei1sqrw7gj9pg4dqyajnrsdlns56crryuhj6asper,191.95
sei1tn8a9f39mtl4g32e03eat9qqvlxln37tvwzgdf,191.95
sei1melv6v7tdwyuj4xfjcjquggycwlwgp0l9em9zc,191.95
sei1pq97tjfpytgpcyl022u58mpej2c4j9t2krw3zj,191.95
sei1chj3d5d7kfm4auu60wy8fzg7g7suzg0496xcq4,191.95
sei15scg20ejj3ckh66hq4ugkrt87jkwzl5mptg36t,191.95
sei19d8xu0zpm03wtw6vhvhesfugzxwnxhcfy306uh,191.95
sei1mqved7f50t4fy8xhe99dyqajw4dv4hm5hpk5ha,191.95
sei1zry9zukz060qqat7xyx7gj84yk47e7dcjc7lyq,191.95
sei1rmh76t3khx2cal5egaawkgc9gkhu0hqqv0h4nz,191.95
